NO. NOTA;TANGGAL;KODE BARANG;NAMA; QTY 
991-2401-0G001;1/2/2024 7:56 AM;27999106540001;30s TR x 30s TR BK Cabut Warna GD Kembang;100
991-2401-0G001;1/2/2024 7:56 AM;27900500530001;30s TR x 30s TR BK Bitingan Besar GD Mika Zipper;85
991-2401-0G001;1/2/2024 7:56 AM;27900007060001;30s TR x 30s TR BK - GD Kembang TMT;200
991-2401-0G001;1/2/2024 7:56 AM;26423204040001;30s TR x 30s TR Dobby BK Black & White GD Asia Pri;5
991-2401-0G001;1/2/2024 7:56 AM;26400704040001;30s TR x 30s TR Dobby BK Campur  GD Asia Prima;45
991-2401-0G001;1/2/2024 7:56 AM;17200002330001;30 S TR Black White BK - GD Black & White;150
991-2401-0G001;1/2/2024 7:56 AM;003132204290001;30/S TR X 30/S TR BK MULTY COLOUR GD Multi Color;200
991-2401-0G001;1/2/2024 7:56 AM;00302402840005;30/S TR X 30/S TR BK Miring Lebar GD Asia Dp;100
991-2401-0G001;1/2/2024 7:56 AM;00301202840002;30/S TR X 30/S TR BK Eslilin GD Asia Dp;100
991-2401-0G001;1/2/2024 7:56 AM;00300702840003;30/S TR X 30/S TR BK Campur  GD Asia Dp;175
991-2401-0G001;1/2/2024 7:56 AM;00300302840002;30/S TR X 30/S TR BK Atl GD Asia Dp;185
991-2401-0G001;1/2/2024 7:56 AM;27900700690001;30s TR x 30s TR BK Campur  Junior Dus;100
991-2401-0G001;1/2/2024 7:56 AM;70300702240001;30s TR x 30s TR+40/2 TR Kepyur BK Campur  GD Mika ;200
991-2401-0G001;1/2/2024 7:56 AM;69200302240001;30s TR+40/2 TR Kpr x 30s TR+40/2 TR Kpr BK Atl GD ;200
991-2401-0G001;1/2/2024 7:56 AM;27903700530001;30s TR x 30s TR BK Super Klir GD Mika Zipper;75
991-2401-0G001;1/2/2024 7:56 AM;70303700530001;30s TR x 30s TR+40/2 TR Kepyur BK Super Klir GD Mi;5
991-2401-0G001;1/2/2024 7:56 AM;27902900530001;30s TR x 30s TR BK Padi GD Mika Zipper;105
991-2401-0G001;1/2/2024 7:56 AM;27900700530001;30s TR x 30s TR BK Campur  GD Mika Zipper;130
991-2401-0G002;1/3/2024 9:26 AM;39900000760001;30S TR x 30S TR CW PRT BS - Tidak Kemas;100
991-2401-0G002;1/3/2024 9:26 AM;23200000760001;30s TR x 30s TR BS - Tidak Kemas;25
991-2401-0G002;1/3/2024 9:26 AM;69300000760001;30s TR+40/2 TR Kpr x 30s TR+40/2 TR Kpr BS - Tidak;18
991-2401-0G002;1/3/2024 9:26 AM;00400300760004;30/S TR X 30/S TR_BS Campur  Tidak Kemas;7
991-2401-0G003;1/3/2024 10:37 AM;67600000760001;30s TR x 30s TR CW PRT BS Parah - Tidak Kemas;100
991-2401-0G004;1/3/2024 10:37 AM;27923207140001;30s TR x 30s TR BK Black & White GD 4MOTIF BLACK &;0.05
991-2401-0G004;1/3/2024 10:37 AM;27999104650001;30s TR x 30s TR BK Cabut Warna GD Asia Kembang;0.05
991-2401-0G004;1/3/2024 10:37 AM;279132207150001;30s TR x 30s TR BK MULTY COLOUR GD 4MOTIF MULTICOL;0.05
991-2401-0G004;1/3/2024 10:37 AM;27900307130001;30s TR x 30s TR BK Atl GD ASIA MERAH PUTIH;0.05
991-2401-0G005;1/3/2024 10:37 AM;279132207150001;30s TR x 30s TR BK MULTY COLOUR GD 4MOTIF MULTICOL;0.05
991-2401-0G005;1/3/2024 10:37 AM;27923207140001;30s TR x 30s TR BK Black & White GD 4MOTIF BLACK &;0.05
991-2401-0G005;1/3/2024 10:37 AM;27999104650001;30s TR x 30s TR BK Cabut Warna GD Asia Kembang;0.05
991-2401-0G005;1/3/2024 10:37 AM;27900307130001;30s TR x 30s TR BK Atl GD ASIA MERAH PUTIH;0.05
991-2401-0G006;1/3/2024 10:37 AM;23200006360001;30s TR x 30s TR BS Cabut Warna AMBAROT KEMBANG;230
991-2401-0G007;1/3/2024 10:37 AM;27972106590001;30s TR x 30s TR BK CW 2 Warna GD Mika Kembang;155
991-2401-0G008;1/3/2024 11:39 AM;03400700761001;AFFAL BESAR - Tidak Kemas;231
